eid source target dir capacity speed_kmh highway cost_time_m dist_km
143 32015 32019 1 5400 64.3736 primary 0.628347500882 0.518576803626
144 32019 32023 1 5400 64.3736 primary 0.293058998571 0.241862342954
145 32023 32028 1 5400 64.3736 primary 0.590770377374 0.487564307243
146 32028 32036 1 5400 64.3736 primary 1.26272954569 1.04213393183
147 32036 32073 1 5400 64.3736 primary 0.479943017855 0.396098203259
148 32073 32074 1 5400 64.3736 primary 0.132235200114 0.109134049719
149 5723 12933 1 6900 96.5604 motorway 0.0548736280608 0.0679310189102
150 12185 3716 1 6900 96.5604 motorway 0.060942157721 0.0754435785437
151 3716 19776 1 6900 96.5604 motorway 0.488865172353 0.605192520364
152 7467 7468 1 950 32.1868 tertiary 0.244286294513 0.100805052619
153 7468 7442 1 950 32.1868 tertiary 0.0261401376521 0.0107867613152
154 7442 7441 1 950 32.1868 tertiary 0.149979943281 0.0618894158768
155 7441 7458 1 950 32.1868 tertiary 0.197120588815 0.0813420636933
156 7458 7453 1 950 32.1868 tertiary 0.236711668379 0.0976793734331
157 7453 7456 1 950 32.1868 tertiary 0.0330058425036 0.0136199032243
158 7456 7448 1 950 32.1868 tertiary 0.518373840899 0.213907630029
159 7448 7449 1 950 32.1868 tertiary 0.0329688744431 0.0136046483067
160 7449 7450 1 950 32.1868 tertiary 0.235700221139 0.0972619984327
161 7450 7440 1 950 32.1868 tertiary 0.19793608489 0.081678579194
162 7440 7443 1 950 32.1868 tertiary 0.148967177796 0.0614714969012
163 7443 7451 1 950 32.1868 tertiary 0.026132153352 0.0107834665835
164 7451 7452 1 950 32.1868 tertiary 0.244829524989 0.101029217371
165 19780 17795 1 5400 64.3736 primary 0.0778261762222 0.0642301427904
166 17795 17849 1 5400 64.3736 primary 0.0136634330481 0.0112764663291
167 17849 29004 1 5400 64.3736 primary 0.234513967637 0.193544978809
168 29004 2328 1 5400 64.3736 primary 0.509240458977 0.420277456539
169 2328 29003 1 5400 64.3736 primary 0.391252382941 0.322901594852
170 29003 30375 1 5400 64.3736 primary 0.37008478138 0.305431919008
171 30375 30374 1 5400 64.3736 primary 0.0127655478094 0.0105354393393
172 30374 2335 1 5400 64.3736 primary 2.11727231613 1.7473902714
173 2335 20939 1 5400 64.3736 primary 0.0172233695338 0.0142144910387
174 20939 11579 1 5400 64.3736 primary 3.85745788593 3.18356988418
175 19782 19780 1 5400 64.3736 primary 0.0845337306654 0.0697659046713
176 21531 9763 1 1900 32.1868 secondary_link 1.64501545642 0.678817737087
177 21530 21531 1 8100 64.3736 motorway_link 0.326809438371 0.26971666746
178 21531 9765 1 8100 64.3736 motorway_link 0.424198777186 0.350092338501
179 9765 9766 1 8100 64.3736 motorway_link 0.120636098378 0.0995612813145
180 9766 26304 1 8100 64.3736 motorway_link 0.481494598266 0.397378726551
181 19786 19767 1 6900 96.5604 motorway 0.0616632062665 0.0763362033638
182 9768 9765 1 8100 64.3736 motorway_link 0.457921090474 0.377923450125
183 9766 1259 1 8100 64.3736 motorway_link 0.639637641786 0.527894585863
184 29350 9764 1 8100 64.3736 motorway_link 1.40782520714 1.16188175326
185 31338 17563 1 6900 96.5604 motorway 0.313356492882 0.387920875581
186 8587 17833 1 5400 64.3736 primary 0.0670827039742 0.0553635275969
187 17833 196 1 5400 64.3736 primary 0.00701140304544 0.00578652891136
188 196 2240 1 5400 64.3736 primary 0.00812957991829 0.00670936315164
189 2240 240 1 5400 64.3736 primary 0.720179668716 0.594366127206
190 240 5946 1 5400 64.3736 primary 0.817749263523 0.674890563979
191 5946 29458 1 5400 64.3736 primary 0.0905584273341 0.0747381022799
192 4754 27988 1 6900 96.5604 motorway 0.287141310713 0.355467689986
193 27988 17553 1 6900 96.5604 motorway 0.709580917409 0.878428425864
