nid lon lat node_id
217 46.5706812 24.6389307 3293446608
218 46.5585172 24.638883 3293446609
219 46.5464859 24.6388892 3293446610
220 46.7279484 24.7804637 1710708131
221 46.5466049 24.6389658 3293446612
222 46.5260846 24.6304273 1698824661
223 46.5257739 24.6302322 1698824662
224 46.5340237 24.6358646 1698824664
225 46.5459391 24.6200088 1698824665
226 46.5415963 24.6391295 3293446621
227 46.5536584 24.6391586 3293446622
228 46.539427 24.6391718 3293446626
229 46.5473491 24.6392447 3293446629
230 46.5523591 24.6393533 3293446630
231 46.5583223 24.639382 3293446631
232 46.5403755 24.6393648 3293446633
233 46.5581163 24.639419 3293446634
234 46.5460854 24.6394239 3293446635
235 46.5461902 24.6395179 3293446639
236 46.541886 24.6254025 1698824691
237 46.5610827 24.6395467 3293446644
238 46.667356 24.7716329 521798134
239 46.5381187 24.6304156 1698824695
240 46.5810444 24.639636 3293446649
241 46.5379986 24.6305754 1698824698
242 46.5409833 24.6397439 3293446651
243 46.5530197 24.6397679 3293446653
244 46.5342543 24.6355577 1698824702
245 46.5531433 24.6398455 3293446660
246 46.5410833 24.6398152 3293446661
247 46.5528594 24.6399152 3293446664
248 46.7269979 24.7748689 1710708140
249 46.5529925 24.6399989 3293446666
250 46.5458192 24.6199335 1698824715
251 46.566905 24.6400134 3293446668
252 46.5407587 24.6400417 3293446669
253 46.5606401 24.6401378 3293446671
254 46.533883 24.6357764 1698824720
255 46.5341141 24.6354696 1698824721
256 46.5408851 24.6400983 3293446674
257 46.537865 24.6304913 1698824723
258 46.5379852 24.6303318 1698824727
259 46.5605472 24.6402618 3293446680
260 46.541759 24.6253228 1698824730
261 46.5418428 24.6252116 1698824733
262 46.6962024 24.6721961 497330949
263 46.5415293 24.6404907 3293446688
264 46.5403461 24.6405888 3293446690
265 46.5662554 24.640544 3293446693
266 46.5491776 24.6405849 3293446694
267 46.5601337 24.6405802 3293446695
268 46.5525221 24.640633 3293446697
269 46.5664292 24.640648 3293446699
270 46.5612136 24.6406792 3293446701
271 46.6676153 24.5870266 1819673134
272 46.5661532 24.6406803 3293446703
273 46.5663281 24.6407827 3293446706
274 46.5359861 24.6370953 1698824759
275 46.5545504 24.640978 3293446713
276 46.5498385 24.6410009 3293446714
277 46.5479034 24.6212405 1698824763
278 46.5476899 24.6215246 1698824766
279 46.5399672 24.6410914 3293446719
280 46.5448175 24.6411166 3293446720
281 46.5568371 24.6411289 3293446721
282 46.5624017 24.6412295 3293446722
283 46.5448954 24.641241 3293446723
284 46.5657251 24.6412511 3293446725
285 46.5438494 24.6266342 1698824774
286 46.5568648 24.6413238 3293446727
287 46.5400812 24.6316474 1698824777
288 46.5397863 24.6415426 3293446731
289 46.5508227 24.6414224 3293446733
290 46.536216 24.6367895 1698824782
291 46.7952651 24.455874 3385852495
292 46.5625908 24.641542 3293446736
293 46.7802024 24.4489229 3385852498
294 46.775718 24.4447641 3385852499
295 46.763061 24.4331191 3385852500
296 46.5395609 24.6416301 3293446741
297 46.7760701 24.4448099 3385852502
298 46.7802192 24.4486023 3385852503
299 46.547741 24.6211387 1698824792
300 46.7865645 24.4526846 3385852505
301 46.7953825 24.4557061 3385852506
302 46.5358366 24.6370016 1698824795
303 46.7800683 24.4487397 3385852508
304 46.7673657 24.4368549 3385852509
305 46.5655802 24.6417802 3293446750
306 46.54349 24.6417325 3293446751
307 46.551453 24.6418175 3293446752
308 46.7661456 24.4713011 3385852513
309 46.5631222 24.6418749 3293446754
310 46.549318 24.6419241 3293446755
311 46.5404025 24.6419302 3293446756
312 46.5513524 24.6419536 3293446757
313 46.5632802 24.6419739 3293446758
314 46.5403299 24.6420257 3293446759
315 46.7564377 24.462376 3385852520
316 46.756588 24.4625142 3385852521
317 46.775877 24.4449094 3385852522
318 46.7716609 24.4410408 3385852523
319 46.7647542 24.4472822 3385852524
320 46.7646033 24.4471144 3385852525
321 46.7715023 24.4408953 3385852526
322 46.7628263 24.4491136 3385852527
323 46.7569086 24.4544548 3385852528
324 46.7567074 24.4543327 3385852529
325 46.7626587 24.449022 3385852530
326 46.7759031 24.4446564 3385852531
327 46.7946335 24.427589 3385852532
328 46.7905294 24.4238159 3385852533
329 46.7836307 24.4301428 3385852534
