id	layer	num1	num2	num3	lon	pos	Station	st_x	st_y	lat	proximity_to_metro
streets_11628	streets	None	None	None	None	(24.559394278953999, 46.912220582138993)	None	46.9122205821	24.559394279	None	None
streets_11629	streets	None	None	None	None	(24.564509777924801, 46.904245618163998)	None	46.9042456182	24.5645097779	None	None
streets_11622	streets	None	None	None	None	(24.763019400781101, 46.675535945327397)	None	46.6755359453	24.7630194008	None	None
streets_11623	streets	None	None	None	None	(24.658806432073003, 46.670945410493403)	None	46.6709454105	24.6588064321	None	None
streets_11620	streets	None	None	None	None	(24.6104593201791, 46.777596274276597)	None	46.7775962743	24.6104593202	None	None
streets_11621	streets	None	None	None	None	(24.771321806265696, 46.7369152657988)	None	46.7369152658	24.7713218063	None	None
streets_11626	streets	None	None	None	None	(24.623387409752802, 46.700181056525793)	None	46.7001810565	24.6233874098	None	None
streets_11627	streets	None	None	None	None	(24.698151126162401, 46.819171267847608)	None	46.8191712678	24.6981511262	None	None
streets_11624	streets	None	None	None	None	(24.658823835118699, 46.671004304862393)	None	46.6710043049	24.6588238351	None	None
streets_11625	streets	None	None	None	None	(24.644123693216301, 46.698271728562098)	None	46.6982717286	24.6441236932	None	None
streets_13953	streets	None	None	None	None	(24.821312785187601, 46.720779399196203)	None	46.7207793992	24.8213127852	None	None
