source	target	layer	capacity	weight	time_s	dist_km	len_km	cost_time_m	To	gid	From
streets_9110	streets_5333	streets	6963	0.566067963659	None	0.95288107216	0.95288107216	0.566067963659	None	17514	None
streets_1618	streets_5347	streets	950	0.0470434246823	None	0.0478274817603	0.0478274817603	0.0470434246823	None	20492	None
streets_1618	streets_9136	streets	1900	0.231978013475	None	0.274507315945	0.274507315945	0.231978013475	None	18985	None
streets_4517	streets_5380	streets	1900	0.153107833608	None	0.181177603103	0.181177603103	0.153107833608	None	1868	None
streets_9111	streets_2930	streets	2850	0.11029604456	None	0.130516986062	0.130516986062	0.11029604456	None	19943	None
streets_9116	streets_1737	streets	1900	0.595714969981	None	0.704929381144	0.704929381144	0.595714969981	None	10665	None
streets_9116	streets_693	streets	950	0.108383169592	None	0.110189555752	0.110189555752	0.108383169592	None	12139	None
streets_9117	streets_8563	streets	2850	0.0155364472978	None	0.0157953880861	0.0157953880861	0.0155364472978	None	10671	None
streets_3954	streets_3955	streets	2850	0.268404973229	None	0.18341006504	0.18341006504	0.268404973229	None	5059	None
streets_3954	streets_7649	streets	2850	0.342701023489	None	0.234179032718	0.234179032718	0.342701023489	None	17722	None
streets_3954	streets_621	streets	2850	1.26235711775	None	0.862610697128	0.862610697128	1.26235711775	None	1962	None
streets_3955	streets_3954	streets	2850	0.268404973229	None	0.18341006504	0.18341006504	0.268404973229	None	377	None
streets_3955	streets_1558	streets	2850	0.343055879397	None	0.234421517588	0.234421517588	0.343055879397	None	12374	None
streets_3955	streets_1313	streets	2850	1.31370972198	None	0.897701643351	0.897701643351	1.31370972198	None	16634	None
streets_3956	streets_3542	streets	6963	0.321710155548	None	0.541545428506	0.541545428506	0.321710155548	None	379	None
streets_3957	streets_8432	streets	2850	3.04513127871	None	1.57331782734	1.57331782734	3.04513127871	None	10141	None
streets_3957	streets_8696	streets	9405	2.72298559934	None	1.40687589299	1.40687589299	2.72298559934	None	16284	None
streets_3957	streets_4100	streets	2850	3.04526918559	None	1.57338907922	1.57338907922	3.04526918559	None	10450	None
streets_3957	streets_7316	streets	9405	2.91618865399	None	1.50669747123	1.50669747123	2.91618865399	None	6634	None
streets_3950	streets_3943	streets	950	0.328942966241	None	0.224777693598	0.224777693598	0.328942966241	None	2446	None
streets_3950	streets_4236	streets	950	0.0234870298718	None	0.0160494704124	0.0160494704124	0.0234870298718	None	15857	None
streets_3951	streets_68	streets	2850	0.0513725311906	None	0.0522287400437	0.0522287400437	0.0513725311906	None	14553	None
streets_3952	streets_9712	streets	2850	1.42382731641	None	0.972948666215	0.972948666215	1.42382731641	None	15112	None
streets_3952	streets_4988	streets	2850	1.09440589521	None	0.747844028391	0.747844028391	1.09440589521	None	20096	None
streets_3952	streets_6114	streets	2850	1.02264587006	None	0.698808011207	0.698808011207	1.02264587006	None	18196	None
streets_3953	streets_847	streets	2850	0.591623058803	None	0.404275756849	0.404275756849	0.591623058803	None	14720	None
streets_3953	streets_2843	streets	1900	0.255887669359	None	0.302800408741	0.302800408741	0.255887669359	None	2502	None
streets_9115	streets_3902	streets	2850	0.464315778926	None	0.472054375241	0.472054375241	0.464315778926	None	10664	None
streets_3958	streets_1258	streets	1900	0.254435197547	None	0.301081650431	0.301081650431	0.254435197547	None	6354	None
streets_3959	streets_1108	streets	9405	0.900608793183	None	0.465314543144	0.465314543144	0.900608793183	None	15897	None
streets_3959	streets_5275	streets	3800	0.528201790413	None	0.360937890115	0.360937890115	0.528201790413	None	13726	None
streets_1371	streets_10589	streets	1900	0.41918011231	None	0.496029799567	0.496029799567	0.41918011231	None	13410	None
streets_4516	streets_369	streets	1900	0.054673175533	None	0.046472199203	0.046472199203	0.054673175533	None	10007	None
streets_4516	streets_4517	streets	1900	0.162804312236	None	0.192651769479	0.192651769479	0.162804312236	None	1489	None
streets_5453	streets_10712	streets	1900	0.0933253863834	None	0.110435040554	0.110435040554	0.0933253863834	None	7164	None
streets_5738	streets_7362	streets	6963	0.0401004681197	None	0.0675024546681	0.0675024546681	0.0401004681197	None	19499	None
streets_5739	streets_5745	streets	1900	0.235239697596	None	0.278366975489	0.278366975489	0.235239697596	None	1179	None
streets_8830	streets_2458	streets	950	0.491442775226	None	0.335819229738	0.335819229738	0.491442775226	None	17246	None
streets_8830	streets_9043	streets	950	0.142465204989	None	0.0973512234089	0.0973512234089	0.142465204989	None	12985	None
streets_8830	streets_4255	streets	950	0.286601699443	None	0.195844494619	0.195844494619	0.286601699443	None	4733	None
streets_5452	streets_5453	streets	950	0.113859476207	None	0.115757134144	0.115757134144	0.113859476207	None	109	None
streets_5452	streets_2174	streets	2850	0.211430019414	None	0.21495385307	0.21495385307	0.211430019414	None	18872	None
streets_5732	streets_9019	streets	9405	2.17399770008	None	1.12323214504	1.12323214504	2.17399770008	None	15177	None
streets_4069	streets_3333	streets	2850	2.06503108815	None	1.06693272888	1.06693272888	2.06503108815	None	14136	None
streets_4069	streets_9197	streets	6963	1.96005529237	None	3.29942640882	3.29942640882	1.96005529237	None	15271	None
streets_5730	streets_8225	streets	2850	0.00751334048504	None	0.00513411599811	0.00513411599811	0.00751334048504	None	15131	None
streets_5731	streets_8594	streets	950	1.2563794414	None	0.85852595162	0.85852595162	1.2563794414	None	12362	None
streets_5731	streets_9609	streets	950	0.344969289186	None	0.235729014277	0.235729014277	0.344969289186	None	2719	None
streets_5731	streets_7905	streets	950	1.29689765777	None	0.886213399477	0.886213399477	1.29689765777	None	1108	None
