source	target	uniform_time_m	capacity	weight	dist_km	transfer	layer	congested_time_m	free_flow_time_m
streets_3217	streets_8107	1.18841154529	2850.0	None	0.625376597552	None	streets	1.38193127191	1.38192974971
streets_3217	streets_3216	0.872956687382	9405.0	None	0.459375108841	None	streets	1.34256080197	1.34256080197
streets_3216	streets_3217	0.872956687382	9405.0	None	0.459375108841	None	streets	1.34256080197	1.34256080197
streets_3214	streets_8173	0.958853066186	950.0	None	0.504576272808	None	streets	1.11513620971	1.11499049552
streets_3214	taz_3754	5.18024417316e-15	10000000000.0	0	5.18024417316e-05	None	taz--streets	5.18024417316e-15	5.18024417316e-15
streets_3214	streets_35	3.45396490237	950.0	None	1.81757643408	None	streets	4.0165104425	4.016400608
streets_3214	streets_4502	2.40345789355	950.0	None	1.26476920036	None	streets	2.80266128841	2.7948314525
streets_3214	streets_11909	1.05771658601	950.0	None	0.55660112219	None	streets	1.26115219903	1.22995272367
streets_10104	streets_1084	0.546083550523	2850.0	None	0.287364990823	None	streets	0.426807674894	0.426807674894
taz_14521	streets_14878	5.60458794558e-15	10000000000.0	0	5.60458794558e-05	None	taz--streets	5.60458794558e-15	5.60458794558e-15
streets_10105	taz_12757	4.81427962937e-15	10000000000.0	0	4.81427962937e-05	None	taz--streets	4.81427962937e-15	4.81427962937e-15
streets_10105	streets_14455	0.630596897248	1900.0	None	0.331838363227	None	streets	0.447005741211	0.423444446596
streets_10106	streets_10107	2.53660986544	9405.0	None	1.33483762696	None	streets	3.90117061298	3.90117061298
streets_10106	streets_6037	2.80455450632	9405.0	None	1.47583786254	None	streets	4.31325517244	4.31325517244
streets_10107	streets_5170	2.90458640619	9405.0	None	1.52847754737	None	streets	4.46709889654	4.46709889651
streets_10107	streets_10106	2.53660986544	9405.0	None	1.33483762696	None	streets	3.90117061298	3.90117061298
streets_10107	streets_6365	2.00430733288	2850.0	None	1.05472460719	None	streets	3.08251772345	3.08251772295
streets_10107	streets_11793	2.00432086351	2850.0	None	1.0547317274	None	streets	3.08253853234	3.08253853234
streets_8532	streets_11019	0.228450191324	2850.0	None	0.120217111595	None	streets	0.178581212451	0.178551972302
streets_8531	streets_8077	0.396525148138	9405.0	None	0.208663025001	None	streets	0.609834518229	0.609834518229
streets_8530	streets_7049	1.69734866988	9284.0	None	0.893194062476	None	streets	0.806226513481	0.801221604557
streets_8530	streets_14566	0.754774901934	950.0	None	0.397184428206	None	streets	0.590572061162	0.589916544189
streets_10100	taz_6313	4.0044109999e-15	10000000000.0	0	4.0044109999e-05	None	taz--streets	4.0044109999e-15	4.0044109999e-15
streets_10100	streets_1099	0.524501169882	9405.0	None	0.276007716631	None	streets	0.806654810559	0.806654810543
streets_10100	taz_10866	4.0044109999e-15	10000000000.0	0	4.0044109999e-05	None	taz--streets	4.0044109999e-15	4.0044109999e-15
streets_10100	streets_12023	0.470878423496	1900.0	None	0.247789873393	None	streets	0.547746560312	0.547555183645
streets_10101	streets_13717	0.920752357742	1900.0	None	0.484526575794	None	streets	0.745128274845	0.618283207985
streets_12888	streets_507	0.387469700112	950.0	None	0.203897785806	None	streets	0.45059796933	0.450564375463
streets_12888	taz_1117	2.34490511455e-15	10000000000.0	0	2.34490511455e-05	None	taz--streets	2.34490511455e-15	2.34490511455e-15
streets_12888	streets_6110	0.974506692091	2850.0	None	0.512813664431	None	streets	1.13321699324	1.13319312189
streets_10102	streets_11580	0.228462968471	2850.0	None	0.1202238353	None	streets	0.213642746577	0.213574107415
streets_12883	streets_7898	0.597954751187	9405.0	None	0.314661119938	None	streets	0.919622536657	0.919622498916
streets_12883	streets_9023	0.462567561126	2850.0	None	0.24341645675	None	streets	0.537891891454	0.53789099955
streets_12883	streets_14488	1.71162344256	2850.0	None	0.900705861573	None	streets	1.99034073897	1.99034026972
streets_12883	streets_12884	0.373828270508	2850.0	None	0.196719270194	None	streets	0.434701606818	0.434701606818
streets_12882	streets_12881	0.0953193534724	1900.0	None	0.0501598063329	None	streets	0.0640072815982	0.0640067387853
streets_12881	streets_9843	0.222004187699	1900.0	None	0.11682503767	None	streets	0.149148529379	0.149075329759
streets_12881	streets_2352	1.17599741949	1900.0	None	0.618843924774	None	streets	1.36749414013	1.36749413621
streets_12881	streets_7137	3.97321243665	1900.0	None	2.0908195354	None	streets	4.62020146736	4.62020121726
streets_12881	streets_472	0.176409623222	1900.0	None	0.0928318564256	None	streets	0.118458804321	0.118458678763
streets_10103	streets_3375	0.1333217615	2850.0	None	0.070157774819	None	streets	0.089896792925	0.0895252732197
streets_10103	streets_4818	0.472467321763	2850.0	None	0.248625997711	None	streets	0.378714147968	0.369270744141
streets_10103	streets_10158	1.37843951454	1900.0	None	0.725374822345	None	streets	1.29492392648	1.28860703734
streets_10103	streets_10601	0.137176862344	2850.0	None	0.072186440611	None	streets	0.567375450163	0.0921139650614
streets_12887	streets_13606	0.220413251015	1900.0	None	0.115987840678	None	streets	0.186755389153	0.148007019232
streets_12887	streets_13426	0.761238700989	2850.0	None	0.400585866602	None	streets	0.885197061324	0.885197061321
streets_12886	streets_5495	0.0322630262901	6963.0	None	0.0169777394775	None	streets	0.0175634102248	0.0152295366006
streets_12885	streets_13746	0.027018668951	3800.0	None	0.0142180066543	None	streets	0.0310971661569	0.0211172361128
streets_12885	streets_3682	0.493254574252	1900.0	None	0.259564852424	None	streets	0.573581104961	0.573575015357
streets_12884	streets_12883	0.373828270508	2850.0	None	0.196719270194	None	streets	0.434701606818	0.434701606818
streets_12884	streets_12208	1.66480614851	2850.0	None	0.876069244584	None	streets	1.93589935511	1.93589935511
streets_12884	streets_12265	0.461974057658	2850.0	None	0.243104138024	None	streets	0.537200851341	0.537200851341
streets_961	streets_13417	2.00491819622	9405.0	None	1.05504606119	None	streets	3.08345719819	3.08345719819
streets_961	streets_8048	2.42612310682	9405.0	None	1.27669629246	None	streets	3.73124805547	3.73124787409
streets_6596	streets_3993	0.0476154202445	2850.0	None	0.0250566141178	None	streets	0.0372230590382	0.0372152334275
streets_6595	streets_10822	2.37039355826	2850.0	None	1.24736978886	None	streets	1.85265086674	1.85265086674
streets_6595	taz_5341	3.38537001033e-15	10000000000.0	0	3.38537001033e-05	None	taz--streets	3.38537001033e-15	3.38537001033e-15
streets_6595	streets_13578	3.57720715185	6963.0	None	1.88243007756	None	streets	1.6887014795	1.68859569334
streets_6595	streets_4327	4.391149361	2850.0	None	2.3107500576	None	streets	3.43203205276	3.43203205276
streets_6595	streets_4159	2.12355669229	6963.0	None	1.11747707619	None	streets	1.00242494271	1.00241012973
streets_6595	taz_1891	3.38537001033e-15	10000000000.0	0	3.38537001033e-05	None	taz--streets	3.38537001033e-15	3.38537001033e-15
streets_6594	streets_4369	0.962698237214	2850.0	None	0.506599713243	None	streets	1.11946180537	1.11946180536
streets_6593	streets_6592	0.54620299042	2850.0	None	0.287427843558	None	streets	0.426901026661	0.426901026661
streets_6592	streets_9981	0.201435220365	1900.0	None	0.106001050931	None	streets	0.135263312878	0.135263312878
streets_6592	streets_5744	0.207670488366	2850.0	None	0.109282229663	None	streets	0.162311643099	0.16231098373
streets_6591	streets_12826	1.2173876215	3800.0	None	0.640624648637	None	streets	0.951485544625	0.951485133876
streets_6591	streets_6588	0.337584795966	2850.0	None	0.177646903485	None	streets	0.392556432878	0.392556328189
streets_6591	streets_1032	1.39887084148	2850.0	None	0.736126378716	None	streets	1.62666081476	1.62665975394
streets_6590	streets_11291	2.28807597082	2850.0	None	1.20405188863	None	streets	1.79215443374	1.78831313295
streets_6590	streets_3283	3.82491278901	4750.0	None	2.01277996281	None	streets	2.9895059969	2.98947319067
streets_6590	taz_7945	5.38630407064e-15	10000000000.0	0	5.38630407064e-05	None	taz--streets	5.38630407064e-15	5.38630407064e-15
streets_6599	streets_10455	1.32616842538	950.0	None	0.697868260309	None	streets	1.93101092903	1.54211864351
streets_6599	streets_6598	0.500241620882	2850.0	None	0.26324163886	None	streets	0.392334409812	0.390978565257
streets_6598	streets_4269	0.0199902562679	2850.0	None	0.0105194522037	None	streets	0.0156781544507	0.0156239732731
streets_7243	taz_12427	4.45365137488e-15	10000000000.0	0	4.45365137488e-05	None	taz--streets	4.45365137488e-15	4.45365137488e-15
streets_7243	streets_7244	0.144921910711	1900.0	None	0.0762621095282	None	streets	0.136249069696	0.0973147482148
streets_7244	streets_6188	0.0153004640947	1900.0	None	0.00805154764307	None	streets	0.0148457008425	0.0102742284009
streets_7244	streets_2098	1.63146839333	950.0	None	0.85852595162	None	streets	1.89724668556	1.8971329565
streets_7245	streets_5920	0.849991052663	1900.0	None	0.447289926265	None	streets	0.570767145346	0.570767145346
streets_7245	streets_11716	0.455032188949	2850.0	None	0.239451125521	None	streets	0.356005288706	0.355643802823
streets_7245	metro_15067	1.24812313416e-11	10000000000.0	0	0.124812313416	None	metro--streets	1.24812313416e-11	1.24812313416e-11
streets_7246	streets_5877	2.06431338427	1900.0	None	1.08630153052	None	streets	1.38629176974	1.38618195303
streets_7246	streets_13369	14.7016091378	6963.0	None	7.73641280882	None	streets	6.93979208395	6.93979208395
streets_7247	streets_13653	1.50009920072	6963.0	None	0.78939567514	None	streets	1.38311998857	0.708111367997
streets_7248	streets_11989	0.275637972777	1900.0	None	0.145048689787	None	streets	0.185090520373	0.185090299925
streets_7248	streets_2309	0.241543592991	1900.0	None	0.127107239024	None	streets	0.162299631117	0.162195997965
streets_7249	streets_12713	0.0301432237755	6963.0	None	0.0158622379585	None	streets	0.0142288986044	0.0142288986044
streets_7249	streets_13588	1.68330339208	6963.0	None	0.88580303024	None	streets	0.794592469893	0.794591629107
streets_10109	streets_7153	0.690702446294	1900.0	None	0.363467645107	None	streets	0.658876305773	0.645689581308
streets_349	streets_9498	0.737918814126	1900.0	None	0.38831426628	None	streets	0.4955143893	0.495510880634
streets_349	streets_344	0.797461153031	9284.0	None	0.419647170662	None	streets	0.376435985848	0.376435976851
streets_348	streets_14281	1.5742345398	2850.0	None	0.828407839148	None	streets	1.83063355967	1.83057927382
streets_348	streets_14770	1.24332782634	1900.0	None	0.654275136218	None	streets	0.840971897814	0.834891934385
taz_12425	streets_11529	2.89158221564e-15	10000000000.0	0	2.89158221564e-05	None	taz--streets	2.89158221564e-15	2.89158221564e-15
streets_345	streets_12495	0.157529618938	1900.0	None	0.0828966509924	None	streets	0.120420281244	0.1057807969
streets_344	streets_10090	0.257816566788	9284.0	None	0.135670549457	None	streets	0.121701864201	0.121700512681
streets_347	streets_4461	0.0311677947369	2850.0	None	0.0164013968924	None	streets	0.0244367436662	0.0243601075156
streets_347	streets_4440	0.0362738765568	2850.0	None	0.01908836513	None	streets	0.0292152428465	0.0283509160782
streets_347	streets_12514	0.209864231486	2850.0	None	0.110436640872	None	streets	0.164027094747	0.164025568245
streets_346	taz_10424	6.92146645071e-15	10000000000.0	0	6.92146645071e-05	None	taz--streets	6.92146645071e-15	6.92146645071e-15
streets_346	streets_10809	1.92913886404	2850.0	None	1.01516878036	None	streets	1.5605078011	1.5077752705
streets_346	streets_5401	2.35730583679	2850.0	None	1.24048265052	None	streets	1.85462103521	1.84242177273
streets_346	streets_4587	1.33566996067	2850.0	None	0.702868243555	None	streets	1.55317166284	1.55316738698
streets_341	streets_4751	1.80360401415	2850.0	None	0.949108704115	None	streets	2.7738467537	2.7738467288
streets_341	streets_2340	1.52108146741	4642.0	None	0.800437151978	None	streets	0.793304607317	0.718015900685
streets_340	streets_7019	0.548258027971	1900.0	None	0.288509263877	None	streets	0.539719185975	0.36815407475
streets_340	streets_3484	0.134429438163	950.0	None	0.0707406663816	None	streets	0.105083933646	0.105067284823
streets_343	streets_14568	0.481843914499	1900.0	None	0.253560232561	None	streets	0.323983330991	0.323557141831
streets_343	streets_5015	0.127471757441	2850.0	None	0.0670793331388	None	streets	0.0996304720068	0.0996293046291
streets_342	streets_4264	0.182887318554	1900.0	None	0.0962406074446	None	streets	0.170972723442	0.17096860852
taz_5187	streets_5726	3.24780603256e-15	10000000000.0	0	3.24780603256e-05	None	taz--streets	3.24780603256e-15	3.24780603256e-15
taz_12423	streets_8994	2.38910594827e-15	10000000000.0	0	2.38910594827e-05	None	taz--streets	2.38910594827e-15	2.38910594827e-15
streets_1161	streets_2803	0.033710221863	2850.0	None	0.0177392957305	None	streets	0.0263539339039	0.0263472162816
streets_1160	streets_12548	0.068279958542	2850.0	None	0.0359308930675	None	streets	0.0554149524196	0.0533662116707
streets_9378	streets_513	0.689336535985	1900.0	None	0.362748863516	None	streets	0.487204537659	0.462887986403
streets_9379	streets_13618	0.051834106197	6963.0	None	0.0272766089316	None	streets	0.0244740860331	0.024467928408
streets_9379	streets_10531	2.198731446	6963.0	None	1.1570362103	None	streets	1.04620554073	1.03789584805
streets_9379	streets_13911	0.570530071355	950.0	None	0.300229458591	None	streets	0.66516332331	0.663433876788
streets_9379	taz_6082	2.28967949407e-15	10000000000.0	0	2.28967949407e-05	None	taz--streets	2.28967949407e-15	2.28967949407e-15
streets_9379	streets_9424	1.10455503323	950.0	None	0.581248870589	None	streets	1.29657061305	1.28441823598
streets_9377	streets_2501	0.062938006969	950.0	None	0.03311980333	None	streets	0.0495790669701	0.0491910521589
streets_9377	streets_14628	0.795603442671	2850.0	None	0.418669589631	None	streets	0.621832828602	0.62182729214
streets_9374	streets_8125	0.314739964224	9405.0	None	0.165625290936	None	streets	0.484053269639	0.484053269639
streets_9374	streets_1296	0.329293259178	9405.0	None	0.173283656523	None	streets	0.506435460676	0.506435460676
streets_9375	streets_8692	0.0539277413547	1900.0	None	0.0283783404291	None	streets	0.0473362192009	0.0362123611673
streets_9375	streets_12482	0.958831991609	2850.0	None	0.504565182754	None	streets	1.11512377381	1.11496598921
streets_9375	streets_9459	0.553324227715	2850.0	None	0.291175245009	None	streets	0.643440450003	0.643426273118
streets_9375	streets_11437	0.0581055128049	1900.0	None	0.0305768048459	None	streets	0.0394183269165	0.0390177256203
streets_9372	streets_13605	0.639300495191	2850.0	None	0.336418448711	None	streets	0.429645521808	0.429288893708
streets_9372	streets_12518	0.326449133424	950.0	None	0.171786995123	None	streets	2.31193379004	0.255145930461
streets_9373	streets_709	0.0549584349995	2850.0	None	0.0289207212964	None	streets	0.084541580964	0.0845231403051
streets_9373	streets_5621	0.0420647309099	6963.0	None	0.0221356805205	None	streets	0.019856363538	0.0198563629224
streets_9373	streets_10873	0.0386501754803	6963.0	None	0.0203388424932	None	streets	0.0182445458408	0.0182445458404
streets_9370	taz_9239	4.78465858129e-15	10000000000.0	0	4.78465858129e-05	None	taz--streets	4.78465858129e-15	4.78465858129e-15
streets_9370	streets_4863	0.606252581955	1900.0	None	0.319027678975	None	streets	0.705346775881	0.704973358905
streets_9370	streets_13594	0.606164137773	1900.0	None	0.318981137083	None	streets	0.705096924752	0.704870512676
streets_9370	taz_1163	4.78465858129e-15	10000000000.0	0	4.78465858129e-05	None	taz--streets	4.78465858129e-15	4.78465858129e-15
streets_9370	taz_1568	4.78465858129e-15	10000000000.0	0	4.78465858129e-05	None	taz--streets	4.78465858129e-15	4.78465858129e-15
streets_9370	streets_4436	0.253322194412	9405.0	None	0.133305480457	None	streets	0.389596017124	0.389596017079
streets_9371	taz_9441	3.95195268291e-15	10000000000.0	0	3.95195268291e-05	None	taz--streets	3.95195268291e-15	3.95195268291e-15
streets_9371	streets_5985	0.480814137713	1900.0	None	0.25301833417	None	streets	0.409012678249	0.375794443865
streets_9371	streets_14968	0.219377937221	9405.0	None	0.115443028554	None	streets	0.337391560933	0.337391560871
streets_4538	streets_4531	0.0574448899072	2850.0	None	0.0302291659311	None	streets	0.04496856112	0.044897744809
streets_4533	streets_3584	0.0631789800795	6963.0	None	0.0332466103645	None	streets	0.0313900372772	0.0298231970201
streets_4532	streets_4415	1.31648364858	950.0	None	0.692771850076	None	streets	1.56727316714	1.53085681993
streets_4532	taz_7868	4.98153881966e-15	10000000000.0	0	4.98153881966e-05	None	taz--streets	4.98153881966e-15	4.98153881966e-15
streets_4532	streets_9560	0.298275811958	1900.0	None	0.156961376851	None	streets	0.200296533097	0.200291559756
streets_4531	streets_9483	2.06284227541	2850.0	None	1.0855273904	None	streets	1.61240683573	1.61227510771
streets_4531	streets_9303	0.0891298468321	1900.0	None	0.0469027085551	None	streets	0.0598862351976	0.0598504985224
streets_4530	streets_4894	0.345928145458	9284.0	None	0.182037415794	None	streets	0.177203987639	0.163292969018
streets_4530	taz_10339	4.18251671521e-15	10000000000.0	0	4.18251671521e-05	None	taz--streets	4.18251671521e-15	4.18251671521e-15
streets_4537	streets_8821	0.234245347937	1900.0	None	0.123266690959	None	streets	0.172324186863	0.157295242267
