id	layer	num1	num2	num3	intermodality	lon	pos	Station	st_x	st_y	lat
streets_12001	streets	None	None	None	None	None	(24.520134266167304, 46.64453204573179)	None	46.6445320457	24.5201342662	None
streets_12000	streets	None	None	None	None	None	(24.519744069910804, 46.6442956555036)	None	46.6442956555	24.5197440699	None
streets_12007	streets	None	None	None	None	None	(24.8122443081072, 46.7600802775092)	None	46.7600802775	24.8122443081	None
streets_12006	streets	None	None	None	None	None	(24.8067653838614, 46.56433656852511)	None	46.5643365685	24.8067653839	None
streets_12005	streets	None	None	None	None	None	(24.825793708487897, 46.8326055380797)	None	46.8326055381	24.8257937085	None
streets_1030	streets	None	None	None	None	None	(24.879395969578802, 46.7278519153805)	None	46.7278519154	24.8793959696	None
taz_2815	taz	1575	658	144	0.246288003771	46.798101	(24.752238000000002, 46.798101)	None	None	None	24.752238
streets_1033	streets	None	None	None	None	None	(24.570856985394396, 46.89515754081471)	None	46.8951575408	24.5708569854	None
taz_2817	taz	2590	5420	1115	0.730143766203	46.635188	(24.599217000000003, 46.635188)	None	None	None	24.599217
taz_2816	taz	3754	3095	331	0.148244166863	46.707045	(24.598069, 46.707045)	None	None	None	24.598069
taz_2819	taz	3753	8908	331	0.14565166156	46.708129	(24.595222, 46.708129)	None	None	None	24.595222
taz_2818	taz	3756	6065	330	0.148479849163	46.709274	(24.601319, 46.709274)	None	None	None	24.601319
streets_1032	streets	None	None	None	None	None	(24.571484100894104, 46.8939298447124)	None	46.8939298447	24.5714841009	None
taz_9442	taz	4093	3886	105	0.397124675937	46.716085	(24.706537, 46.716085)	None	None	None	24.706537
streets_7909	streets	None	None	None	None	None	(24.6876840826875, 46.687436510544394)	None	46.6874365105	24.6876840827	None
streets_7908	streets	None	None	None	None	None	(24.688353621670498, 46.6871113816654)	None	46.6871113817	24.6883536217	None
streets_7907	streets	None	None	None	None	None	(24.631783234073602, 46.7305520310194)	None	46.730552031	24.6317832341	None
streets_7906	streets	None	None	None	None	None	(24.6579399215418, 46.7451801464743)	None	46.7451801465	24.6579399215	None
streets_7905	streets	None	None	None	None	None	(24.7928619554295, 46.80500626723829)	None	46.8050062672	24.7928619554	None
streets_7904	streets	None	None	None	None	None	(24.6990247191165, 46.654980299733104)	None	46.6549802997	24.6990247191	None
streets_7903	streets	None	None	None	None	None	(24.6314532229356, 46.72627168844729)	None	46.7262716884	24.6314532229	None
streets_2010	streets	None	None	None	None	None	(24.6746513842309, 46.7219834544842)	None	46.7219834545	24.6746513842	None
streets_7901	streets	None	None	None	None	None	(24.7643928265267, 46.674838086509)	None	46.6748380865	24.7643928265	None
streets_7900	streets	None	None	None	None	None	(24.6776900246409, 46.696763442795)	None	46.6967634428	24.6776900246	None
streets_2364	streets	None	None	None	None	None	(24.657603031786604, 46.7560233190395)	None	46.756023319	24.6576030318	None
streets_2365	streets	None	None	None	None	None	(24.9630288548899, 46.791339460051795)	None	46.7913394601	24.9630288549	None
streets_9198	streets	None	None	None	None	None	(24.5834532265694, 46.699686473644896)	None	46.6996864736	24.5834532266	None
streets_9199	streets	None	None	None	None	None	(24.7543303596733, 46.621884610354)	None	46.6218846104	24.7543303597	None
streets_9196	streets	None	None	None	None	None	(24.601997288670002, 46.7277707469522)	None	46.727770747	24.6019972887	None
streets_9197	streets	None	None	None	None	None	(24.849841223562798, 46.52259972764671)	None	46.5225997276	24.8498412236	None
streets_9194	streets	None	None	None	None	None	(24.7121069945517, 46.662806738383296)	None	46.6628067384	24.7121069946	None
streets_9195	streets	None	None	None	None	None	(24.537274608007998, 46.656236025079096)	None	46.6562360251	24.537274608	None
taz_7268	taz	1228	3000	28	0.112184774923	46.649126	(24.683144, 46.649126)	None	None	None	24.683144
streets_9996	streets	None	None	None	None	None	(24.7909445189425, 46.704724186368)	None	46.7047241864	24.7909445189	None
streets_3107	streets	None	None	None	None	None	(24.750540792315196, 46.681841005908204)	None	46.6818410059	24.7505407923	None
streets_3106	streets	None	None	None	None	None	(24.6364305319808, 46.576278335216706)	None	46.5762783352	24.636430532	None
streets_3105	streets	None	None	None	None	None	(24.6194892619069, 46.7009697111464)	None	46.7009697111	24.6194892619	None
taz_7263	taz	3169	6238	836	0.260193259486	46.691485	(24.721091, 46.691485)	None	None	None	24.721091
streets_3108	streets	None	None	None	None	None	(24.753257414291703, 46.7140023344302)	None	46.7140023344	24.7532574143	None
taz_7265	taz	3170	1740	836	0.246523686071	46.693296	(24.721822, 46.693296000000004)	None	None	None	24.721822
taz_7267	taz	3171	1592	834	0.306386990337	46.690226	(24.716685000000002, 46.690226)	None	None	None	24.716685
taz_7266	taz	1853	2041	929	0.256658024982	46.775111	(24.677066, 46.775110999999995)	None	None	None	24.677066
streets_11588	streets	None	None	None	None	None	(24.842414550803298, 46.689680511833004)	None	46.6896805118	24.8424145508	None
taz_8863	taz	349	7246	44	0.070940372378	46.542961	(24.629927, 46.542961)	None	None	None	24.629927
taz_7198	taz	14	757	1442	0.105114305916	46.667473	(24.508707, 46.667473)	None	None	None	24.508707
taz_7197	taz	15	10439	1442	0.105114305916	46.652034	(24.515152, 46.652034)	None	None	None	24.515152
taz_7196	taz	16	6226	1427	0.105114305916	46.686105	(24.553941000000002, 46.686105)	None	None	None	24.553941
taz_7195	taz	17	7853	1427	0.107235446618	46.676075	(24.560996, 46.676075)	None	None	None	24.560996
taz_7194	taz	3787	1951	311	0.390289889229	46.73651	(24.62567, 46.736509999999996)	None	None	None	24.62567
taz_7193	taz	12	9387	429	0.156493047372	46.646447	(24.627741, 46.646446999999995)	None	None	None	24.627741
taz_7192	taz	13	4265	429	0.131510723545	46.652208	(24.640655, 46.652208)	None	None	None	24.640655
taz_7191	taz	3786	8242	311	0.390289889229	46.737506	(24.623466, 46.737505999999996)	None	None	None	24.623466
taz_7190	taz	18	955	1427	0.107235446618	46.686006	(24.563325, 46.686006)	None	None	None	24.563325
streets_10464	streets	None	None	None	None	None	(24.813747667146203, 46.8105532713565)	None	46.8105532714	24.8137476671	None
taz_13958	taz	2897	2446	1203	0.187131746406	46.727349	(24.6585, 46.727349)	None	None	None	24.6585
taz_13953	taz	2902	2446	1201	0.187131746406	46.727349	(24.6585, 46.727349)	None	None	None	24.6585
taz_13952	taz	2899	5813	1202	0.263021447089	46.72813	(24.649882, 46.72813)	None	None	None	24.649882
taz_13951	taz	750	1246	634	0.101814753712	46.583636	(24.720309, 46.583636)	None	None	None	24.720309
taz_13950	taz	759	7111	912	0.104407259015	46.759408	(24.736886, 46.759408)	None	None	None	24.736886
taz_13957	taz	2898	8626	1203	0.204807918925	46.730538	(24.65759, 46.730538)	None	None	None	24.65759
taz_3912	taz	2945	6637	1134	0.149186896064	46.720718	(24.673707, 46.720718)	None	None	None	24.673707
taz_13954	taz	2901	498	1202	0.235446617959	46.728068	(24.651276, 46.728068)	None	None	None	24.651276
taz_14636	taz	3778	5121	314	0.181004006599	46.708757	(24.609717, 46.708757)	None	None	None	24.609717
taz_14635	taz	3779	4015	314	0.148244166863	46.709789	(24.610112, 46.709789)	None	None	None	24.610112
taz_3911	taz	1654	1656	40	0.110299316521	46.676952	(24.66315, 46.676952)	None	None	None	24.66315
taz_14633	taz	3780	581	1283	0.537119962291	46.715203	(24.615041, 46.715203)	None	None	None	24.615041
streets_9997	streets	None	None	None	None	None	(24.8758284006005, 46.5253689722027)	None	46.5253689722	24.8758284006	None
taz_3910	taz	1653	8742	603	0.186896064106	46.711763	(24.803402, 46.711763)	None	None	None	24.803402
streets_14980	streets	None	None	None	None	None	(24.8989223788761, 47.025489822162506)	None	47.0254898222	24.8989223789	None
streets_14982	streets	None	None	None	None	None	(24.6349961183715, 46.68154016529451)	None	46.6815401653	24.6349961184	None
streets_14983	streets	None	None	None	None	None	(24.7401256991078, 46.796813440482)	None	46.7968134405	24.7401256991	None
streets_14984	streets	None	None	None	None	None	(24.528992450651497, 46.5631776606659)	None	46.5631776607	24.5289924507	None
streets_14985	streets	None	None	None	None	None	(24.7095785985107, 46.82068949198771)	None	46.820689492	24.7095785985	None
streets_14986	streets	None	None	None	None	None	(24.5958558503404, 46.87231132929111)	None	46.8723113293	24.5958558503	None
